id;numero_tag;tag;serial;gtin;poder;fechavence;tipo_lente
1;700;801191a502006034efc59c;115266820039;380652357890;28,0;2026-09-08;TFNT00
2;701;801191a502006034efc59b;115114425058;380652357920;29,5;2025-11-08;TFNT00
3;702;801191a502006034efc59a;115200911023;380652357913;29,0;2026-05-12;TFNT00
4;703;801191a502006034efc599;115169506049;380652390538;20,5;2026-03-16;TFNT40
5;704;801191a502006034efc598;112579827152;380652391092;21,0;2022-11-30;TFNT50
6;706;801191a502006034efc596;115169519027;380652391092;21,0;2026-03-15;TFNT50
7;707;801191a502006034efc595;115273707025;380652389983;20,5;2026-09-26;TFNT30
8;708;801191a502006034efc594;115123382034;380652250993;20,0;2025-12-14;SN6AT5
9;709;801191a502006034efc593;115273707026;380652389983;20,5;2026-09-26;TFNT30
10;710;801191a502006034efc592;115247919005;380652389440;21,0;2026-08-14;TFNT20
11;711;801191a502006034efc591;115207714079;380652389419;19,5;2026-05-25;TFNT20
12;712;801191a502006034efc99f;115301577093;380652390057;24,0;2026-11-07;TFNT30
13;713;801191a502006034efc99e;115301577083;380652390057;24,0;0000-00-00;TFNT30
14;714;801191a502006034efc99d;115247919006;380652389440;21,0;2026-08-14;TFNT20
15;715;801191a502006034efc99c;115081418062;380652250030;27,0;0000-00-00;SN6AT3
16;716;801191a502006034efc99b;115275321076;380652249867;18,5;2026-09-20;SN6AT3
17;717;801191a502006034efc99a;115103529070;380652250566;27,0;2025-10-05;SN6AT4
18;718;801191a502006034efc999;115103529070;380652250566;27,0;2025-10-05;SN6AT4
19;719;801191a502006034efc998;112583805041;380652251136;27,0;0000-00-00;SN6AT5
20;721;801191a502006034efc996;115153223040;380652389983;20,5;2026-02-27;TFNT30
21;722;801191a502006034efc995;115004202082;380652272780;22,0;2025-01-08;SN6AT2
22;725;801191a502006034efc992;115316473052;380652357845;25,5;2026-12-04;TFNT00
23;726;801191a502006034efc991;115316473053;380652357845;25,5;2026-12-04;TFNT00
